,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Build Report,Suggests,Depends,Version,In Bioconductor since,Imports Me,Depends On Me,SystemRequirements
oligoClasses,"Infrastructure,Software","doMC,doMPI,doSNOW,doParallel,doRedis",,GPL (>= 2),,"BiocGenerics(>= 0.3.2),Biobase(>= 2.17.8), methods, graphics,IRanges(>= 1.13.30),GenomicRanges,Biostrings(>= 2.23.6),affyio(>= 1.23.2),ff,foreach,BiocInstaller, utils,S4Vectors","BiocGenerics,hapmapsnp6",&nbsp;,"RSQLite,hapmapsnp5,hapmapsnp6,pd.genomewidesnp.6,pd.genomewidesnp.5,pd.mapping50k.hind240,pd.mapping50k.xba240,pd.mapping250k.sty,pd.mapping250k.nsp,genomewidesnp6Crlmm(>= 1.0.7),genomewidesnp5Crlmm(>= 1.0.6),RUnit,human370v1cCrlmm",R (>= 2.14),1.28.0,BioC 2.1 (R-2.6),"affycoretools,ArrayTV,charm,frma,ITALICS,MinimumDistance,pdInfoBuilder,SNPchip,VanillaICE","cn.farms,crlmm,mBPCR,oligo,pd.081229.hg18.promoter.medip.hx1,pd.2006.07.18.hg18.refseq.promoter,pd.2006.07.18.mm8.refseq.promoter,pd.2006.10.31.rn34.refseq.promoter,pd.ag,pd.aragene.1.0.st,pd.aragene.1.1.st,pd.atdschip.tiling,pd.ath1.121501,pd.barley1,pd.bovgene.1.0.st,pd.bovgene.1.1.st,pd.bovine,pd.bsubtilis,pd.cangene.1.0.st,pd.cangene.1.1.st,pd.canine,pd.canine.2,pd.celegans,pd.charm.hg18.example,pd.chicken,pd.chigene.1.0.st,pd.chigene.1.1.st,pd.chogene.2.0.st,pd.chogene.2.1.st,pd.citrus,pd.cotton,pd.cyngene.1.0.st,pd.cyngene.1.1.st,pd.cyrgene.1.0.st,pd.cyrgene.1.1.st,pd.cytogenetics.array,pd.drogene.1.0.st,pd.drogene.1.1.st,pd.drosgenome1,pd.drosophila.2,pd.e.coli.2,pd.ecoli,pd.ecoli.asv2,pd.elegene.1.0.st,pd.elegene.1.1.st,pd.equgene.1.0.st,pd.equgene.1.1.st,pd.feinberg.hg18.me.hx1,pd.feinberg.mm8.me.hx1,pd.felgene.1.0.st,pd.felgene.1.1.st,pd.fingene.1.0.st,pd.fingene.1.1.st,pd.genomewidesnp.5,pd.genomewidesnp.6,pd.guigene.1.0.st,pd.guigene.1.1.st,pd.hc.g110,pd.hg.focus,pd.hg.u133.plus.2,pd.hg.u133a,pd.hg.u133a.2,pd.hg.u133a.tag,pd.hg.u133b,pd.hg.u219,pd.hg.u95a,pd.hg.u95av2,pd.hg.u95b,pd.hg.u95c,pd.hg.u95d,pd.hg.u95e,pd.hg18.60mer.expr,pd.ht.hg.u133.plus.pm,pd.ht.hg.u133a,pd.ht.mg.430a,pd.hta.2.0,pd.hu6800,pd.huex.1.0.st.v2,pd.hugene.1.0.st.v1,pd.hugene.1.1.st.v1,pd.hugene.2.0.st,pd.hugene.2.1.st,pd.maize,pd.mapping250k.nsp,pd.mapping250k.sty,pd.mapping50k.hind240,pd.mapping50k.xba240,pd.margene.1.0.st,pd.margene.1.1.st,pd.medgene.1.0.st,pd.medgene.1.1.st,pd.medicago,pd.mg.u74a,pd.mg.u74av2,pd.mg.u74b,pd.mg.u74bv2,pd.mg.u74c,pd.mg.u74cv2,pd.mirna.1.0,pd.mirna.2.0,pd.mirna.3.0,pd.mirna.3.1,pd.mirna.4.0,pd.moe430a,pd.moe430b,pd.moex.1.0.st.v1,pd.mogene.1.0.st.v1,pd.mogene.1.1.st.v1,pd.mogene.2.0.st,pd.mogene.2.1.st,pd.mouse430.2,pd.mouse430a.2,pd.mu11ksuba,pd.mu11ksubb,pd.nugo.hs1a520180,pd.nugo.mm1a520177,pd.ovigene.1.0.st,pd.ovigene.1.1.st,pd.pae.g1a,pd.plasmodium.anopheles,pd.poplar,pd.porcine,pd.porgene.1.0.st,pd.porgene.1.1.st,pd.rabgene.1.0.st,pd.rabgene.1.1.st,pd.rae230a,pd.rae230b,pd.raex.1.0.st.v1,pd.ragene.1.0.st.v1,pd.ragene.1.1.st.v1,pd.ragene.2.0.st,pd.ragene.2.1.st,pd.rat230.2,pd.rcngene.1.0.st,pd.rcngene.1.1.st,pd.rg.u34a,pd.rg.u34b,pd.rg.u34c,pd.rhegene.1.0.st,pd.rhegene.1.1.st,pd.rhesus,pd.rice,pd.rjpgene.1.0.st,pd.rjpgene.1.1.st,pd.rn.u34,pd.rusgene.1.0.st,pd.rusgene.1.1.st,pd.s.aureus,pd.soybean,pd.soygene.1.0.st,pd.soygene.1.1.st,pd.sugar.cane,pd.tomato,pd.u133.x3p,pd.vitis.vinifera,pd.wheat,pd.x.laevis.2,pd.x.tropicalis,pd.xenopus.laevis,pd.yeast.2,pd.yg.s98,pd.zebgene.1.0.st,pd.zebgene.1.1.st,pd.zebrafish,waveTiling",
omicade4,"Classification,Clustering,MultipleComparison,Software",,,GPL-2,,made4,,&nbsp;,BiocStyle,"R (>= 3.0.0),ade4",1.6.2,BioC 2.13 (R-3.0),,,
oneChannelGUI,"DataImport,DifferentialExpression,GUI,Microarray,MultipleComparison,OneChannel,Preprocessing,QualityControl,RNASeq,Sequencing,Software,StatisticalMethod",,,Artistic-2.0,http://www.bioinformatica.unito.it/oneChannelGUI/,,,&nbsp;,"annotate,genefilter,maSigPro,pamr,pdmclass,ChIPpeakAnno,chipseq,BSgenome,Rgraphviz,affy,annaffy,affyPLM,multtest,ssize,sizepower,RankProd,org.Hs.eg.db,org.Mm.eg.db,org.Rn.eg.db,edgeR,metaArray,MergeMaid,biomaRt,GenomeGraphs,AffyCompatible,rtracklayer,Genominator,EDASeq,limma,DESeq,DEXSeq,goseq,hugene10sttranscriptcluster.db,mogene10sttranscriptcluster.db,ragene10sttranscriptcluster.db,GOstats,AnnotationDbi,preprocessCore,baySeq,HuExExonProbesetLocation,MoExExonProbesetLocation,RaExExonProbesetLocation,snow,RmiR,RmiR.Hs.miRNA,BSgenome.Hsapiens.UCSC.hg19,BSgenome.Mmusculus.UCSC.mm9,BSgenome.Rnorvegicus.UCSC.rn4,R.utils,cummeRbund","Biobase,affylmGUI,tkrplot,tkWidgets,IRanges,Rsamtools(>= 1.13.1),Biostrings,siggenes,chimera",1.32.0,BioC 2.0 (R-2.5),,,
ontoCAT,"Classification,DataRepresentation,Software",,,Apache License 2.0,,,RMassBank,&nbsp;,,"rJava, methods",1.18.0,BioC 2.7 (R-2.12),,,
openCyto,"DataImport,DataRepresentation,FlowCytometry,Preprocessing,Software",,Rcpp,Artistic-2.0,,"methods,Biobase,gtools,flowCore,flowViz,ncdfFlow(>= 2.11.34),flowStats(>= 3.23.7),flowClust,MASS,clue,plyr,RBGL,graph,data.table,ks,RColorBrewer,lattice,rrcov,R.utils",flowCore,&nbsp;,"flowWorkspaceData,knitr,testthat, utils, tools, parallel",flowWorkspace(>= 3.11.10),1.4.0,BioC 2.13 (R-3.0),,,
oposSOM,"DataRepresentation,DifferentialExpression,GeneExpression,GeneSetEnrichment,Software,Visualization",,,GPL (>=2),http://som.izbi.uni-leipzig.de,"som,fastICA,scatterplot3d,pixmap,fdrtool,ape,igraph,KernSmooth, parallel,biomaRt,Biobase",,&nbsp;,,R (>= 3.0),1.1.1,BioC 3.0 (R-3.1),,,
pRoloc,"Classification,Clustering,MassSpectrometry,Proteomics,QualityControl,Software",,"Rcpp,RcppArmadillo",GPL-2,,"mclust(>= 4.3),caret,e1071,sampling,class,kernlab,lattice,nnet,randomForest,proxy,FNN,BiocGenerics, stats,RColorBrewer,scales,MASS,knitr,mvtnorm","MSnbase,pRolocdata,RforProteomics",&nbsp;,"testthat,pRolocdata,roxygen2,synapter,xtable","R (>= 2.15),MSnbase(>= 1.13.3),MLInterfaces(>= 1.37.1), methods,Rcpp(>= 0.10.3),BiocParallel",1.6.2,BioC 2.12 (R-3.0),,pRolocGUI,
pRolocGUI,"GUI,Proteomics,Software,Visualization",,,GPL-2,http://ComputationalProteomicsUnit.github.io/pRolocGUI/,"pRolocdata,shiny(>= 0.9.1), tools (>= 3.1.0)",,&nbsp;,"RUnit,BiocGenerics,knitr,knitrBootstrap,bibtex,knitcitations(>= 1.0-1)","R (>= 3.1.0),pRoloc(>= 1.5.12),MSnbase(>= 1.13.11), methods",1.0.2,BioC 3.0 (R-3.1),,,
paircompviz,"GraphAndNetwork,Software",,,GPL (>=3.0),,Rgraphviz,,&nbsp;,"multcomp,reshape,rpart,plyr,xtable","R (>= 2.10),Rgraphviz",1.4.0,BioC 2.13 (R-3.0),,,
panp,"Infrastructure,Software",,,GPL (>= 2),,"Biobase, methods, stats, utils",,&nbsp;,gcrma,"R (>= 2.10),affy(>= 1.23.4),Biobase(>= 2.5.5)",1.36.0,BioC 1.8 (R-2.3),,,
parody,"MultipleComparison,Software",,,Artistic-2.0,,,,&nbsp;,,"R (>= 2.5.0), methods, tools, utils",1.24.0,BioC 2.3 (R-2.8),,"arrayMvout,flowQ",
pathRender,"GraphAndNetwork,Pathways,Software,Visualization",,,LGPL,http://www.bioconductor.org,,,&nbsp;,"ALL,hgu95av2.db","graph,Rgraphviz,RColorBrewer,cMAP,AnnotationDbi, methods",1.34.0,BioC 1.8 (R-2.3),,,
pathifier,"Network,Software",,,Artistic-1.0,,"R.oo,princurve",,&nbsp;,,,1.4.0,BioC 2.13 (R-3.0),,,
pathview,"DifferentialExpression,GeneExpression,GeneSetEnrichment,Genetics,GraphAndNetwork,Metabolomics,Microarray,Pathways,Proteomics,RNASeq,Sequencing,Software,SystemsBiology,Visualization",,,GPL (>=3.0),http://pathview.r-forge.r-project.org/,"Rgraphviz,graph,png,AnnotationDbi,KEGGREST, methods, utils","clusterProfiler,gage,gageData",&nbsp;,"gage,org.Mm.eg.db,RUnit,BiocGenerics","R (>= 2.10),KEGGgraph,org.Hs.eg.db",1.6.0,BioC 2.12 (R-3.0),CompGO,,
paxtoolsr,"GeneSetEnrichment,GraphAndNetwork,Network,NetworkEnrichment,Pathways,Software,SystemsBiology",,,LGPL-3,https://bitbucket.org/cbio_mskcc/paxtoolsr,,,&nbsp;,"testthat,knitr,BiocStyle,rmarkdown,RColorBrewer,igraph,biomaRt,estrogen,affy,hgu95av2,hgu95av2cdf,limma","R (>= 3.1.1),rJava(>= 0.9-4),XML,RCurl,rjson,plyr",1.2.11,BioC 3.0 (R-3.1),,,Java (>= 1.5)
pcaGoPromoter,"GO,GeneExpression,Microarray,Software,Visualization",,,GPL (>= 2),,"Biobase(>= 2.10.0),AnnotationDbi",,&nbsp;,"Rgraphviz,GO.db,hgu133plus2.db,mouse4302.db,rat2302.db,hugene10sttranscriptcluster.db,mogene10sttranscriptcluster.db,Biostrings,pcaGoPromoter.Hs.hg19,pcaGoPromoter.Mm.mm9,pcaGoPromoter.Rn.rn4,serumStimulation, parallel","R (>= 2.14.0),ellipse",1.10.0,BioC 2.10 (R-2.15),,,
pcaMethods,"Bayesian,Software",,Rcpp,GPL (>= 3),,"BiocGenerics,MASS",,&nbsp;,"matrixStats,lattice","Biobase, methods,Rcpp(>= 0.8.7)",1.56.0,BioC 1.9 (R-2.4),"CompGO,MSnbase,SomaticSignatures",DeconRNASeq,Rcpp
pcot2,"DifferentialExpression,Microarray,Software",,,GPL (>= 2),,,,&nbsp;,"multtest,hu6800.db,KEGG.db,mvtnorm","R (>= 2.0.0), grDevices,Biobase,amap",1.34.0,BioC 1.9 (R-2.4),,,
pdInfoBuilder,"Annotation,Infrastructure,Software",,,Artistic-2.0,,"Biostrings(>= 2.33.14),BiocGenerics(>= 0.11.5),DBI(>= 0.3.1),IRanges(>= 1.99.31),oligoClasses(>= 1.27.2),S4Vectors(>= 0.2.5)",maqcExpression4plex,&nbsp;,,"R (>= 3.1.0), methods,Biobase(>= 2.25.0),RSQLite(>= 1.0.0),affxparser(>= 1.37.2),oligo(>= 1.29.1)",1.30.6,BioC 2.0 (R-2.5),,,
pdmclass,"Classification,Software",,,Artistic-2.0,,,oneChannelGUI,&nbsp;,,"Biobase(>= 1.4.22), R (>= 1.9.0),fibroEset,mda",1.38.0,BioC 1.7 (R-2.2),,,
pepStat,"Microarray,Preprocessing,Software",,,Artistic-2.0,https://github.com/RGLab/pepStat,"limma,fields,GenomicRanges,ggplot2,plyr, tools, methods,data.table",,&nbsp;,"pepDat,Pviz,knitr,shiny","R (>= 3.0.0),Biobase,IRanges",1.0.0,BioC 3.0 (R-3.1),,,
pepXMLTab,"MassSpectrometry,Proteomics,Software",,,Artistic-2.0,,XML(>= 3.98-1.1),,&nbsp;,"RUnit,BiocGenerics",R (>= 3.0.1),1.0.0,BioC 3.0 (R-3.1),,,
phenoDist,"CellBasedAssays,Software",,,LGPL-2.1,http://www.dkfz.de/signalinghttp://www.embl.de/research/units/genome_biology/huber/,,,&nbsp;,"GOstats,MASS","R (>= 2.9.0),imageHTS,e1071",1.14.0,BioC 2.8 (R-2.13),,,
phenoTest,"Classification,Clustering,DifferentialExpression,Microarray,MultipleComparison,Software","parallel,org.Ce.eg.db,org.Mm.eg.db,org.Rn.eg.db,org.Hs.eg.db,org.Dm.eg.db",,GPL (>=2),,"survival,limma,Hmisc,gplots,Category,AnnotationDbi,hopach,biomaRt,GSEABase,genefilter,xtable,annotate,mgcv,SNPchip,hgu133a.db,HTSanalyzeR,ellipse",,&nbsp;,"GSEABase,KEGG.db,GO.db","R (>= 2.12.0),Biobase, methods,annotate,Heatplus,BMA,ggplot2,gridExtra",1.14.0,BioC 2.8 (R-2.13),,,
phyloseq,"Classification,Clustering,GeneticVariability,Metagenomics,Microbiome,MultipleComparison,Sequencing,Software",doParallel(>= 1.0.1),,AGPL-3,http://dx.plos.org/10.1371/journal.pone.0061217,"ade4(>= 1.6.2),ape(>= 3.1.1),biom(>= 0.3.9),Biostrings(>= 2.28.0),cluster(>= 1.14.4),data.table(>= 1.9.2),DESeq2(>= 1.4.0),foreach(>= 1.4.2),ggplot2(>= 1.0.0),igraph(>= 0.7.0), methods (>= 3.1.0),multtest(>= 2.16.0),plyr(>= 1.8),reshape2(>= 1.2.2),scales(>= 0.2.3),vegan(>= 2.0.10)",,&nbsp;,"genefilter(>= 1.42.0),testthat(>= 0.8),knitr(>= 1.3)",R (>= 3.1.0),1.10.0,BioC 2.10 (R-2.15),,,
piano,"DifferentialExpression,GeneExpression,GeneSetEnrichment,Microarray,Pathways,Preprocessing,QualityControl,Software,Visualization",,,GPL (>=2),http://www.sysbio.se/piano,"Biobase,gplots,igraph,relations,marray",,&nbsp;,"yeast2.db,rsbml,plotrix,limma,affy,plier,affyPLM,gtools,biomaRt,snowfall",R (>= 2.14.0),1.6.2,BioC 2.12 (R-3.0),,,
pickgene,"DifferentialExpression,Microarray,Software",,,GPL (>= 2),http://www.stat.wisc.edu/~yandell/statgen,"graphics, grDevices,MASS, stats, utils",,&nbsp;,,,1.38.0,BioC 1.6 (R-2.1) or earlier,,,
pint,"DifferentialExpression,GeneExpression,Genetics,Microarray,Software,aCGH",,,BSD_2_clause + file LICENSE,https://github.com/antagomir/pint,,,&nbsp;,,"mvtnorm, methods, graphics,Matrix,dmt",1.16.0,BioC 2.6 (R-2.11),,,
pkgDepTools,"GraphAndNetwork,Infrastructure,Software",,,GPL-2,,"graph,RBGL",,&nbsp;,"Biobase,Rgraphviz,RCurl,BiocInstaller","methods,graph,RBGL",1.32.0,BioC 1.9 (R-2.4),,,
plateCore,"CellBasedAssays,FlowCytometry,Infrastructure,Software",,,Artistic-2.0,http://www.bioconductor.org,"Biobase,flowCore, graphics, grDevices,lattice,MASS, methods,robustbase, stats, utils,flowStats",,&nbsp;,gplots,"R (>= 2.10),flowCore,flowViz,lattice,latticeExtra",1.24.0,BioC 2.5 (R-2.10),,,
plethy,"DataImport,DataRepresentation,Infastructure,Software,TimeCourse,biocViews",,,GPL-3,,"Streamer,DBI,RSQLite(>= 1.0.0),IRanges,reshape2,plyr,RColorBrewer,ggplot2",,&nbsp;,"RUnit,BiocStyle","R (>= 3.1.0), methods,BiocGenerics,S4Vectors",1.4.3,BioC 2.13 (R-3.0),,,
plgem,"DifferentialExpression,GeneExpression,MassSpectrometry,Microarray,Proteomics,Software",,,GPL-2,http://www.genopolis.it,"utils,Biobase(>= 2.5.5),MASS",,&nbsp;,,R (>= 2.10),1.38.0,BioC 1.6 (R-2.1) or earlier,,,
plier,Software,,,GPL (>= 2),,"affy,Biobase, methods",piano,&nbsp;,,"R (>= 2.0), methods",1.36.0,BioC 1.6 (R-2.1) or earlier,,,
plrs,"Regression,Software",,,GPL (>=2.0),,"BiocGenerics,CGHbase, graphics, grDevices,ic.infer,marray, methods,quadprog,Rcsdp, stats, stats4, utils",,&nbsp;,"mvtnorm, methods","R (>= 2.10),Biobase",1.6.0,BioC 2.12 (R-3.0),,,
plw,"DifferentialExpression,Microarray,OneChannel,Software,TwoChannel",,,GPL-2,,"MASS,affy, graphics, splines, stats",,&nbsp;,limma,"R (>= 2.10),affy(>= 1.23.4)",1.26.0,BioC 2.2 (R-2.7),,,
polyester,"DifferentialExpression,Sequencing,Software",,,Artistic-2.0,,"Biostrings(>= 2.32.0),IRanges,S4Vectors",,&nbsp;,"knitr,ballgown",R (>= 3.0.0),1.0.2,BioC 3.0 (R-3.1),,,
ppiStats,"GraphAndNetwork,Network,NetworkInference,Proteomics,Software",,,Artistic-2.0,,"Biobase,Category,graph, graphics, grDevices,lattice, methods,RColorBrewer, stats","BiocCaseStudies,ppiData,RpsiXML",&nbsp;,"yeastExpData,xtable","ScISI(>= 1.13.2),lattice,ppiData(>= 0.1.19)",1.32.0,BioC 1.9 (R-2.4),,PCpheno,
prada,"CellBasedAssays,Software,Visualization",,,LGPL,,"Biobase,BiocGenerics, graphics, grDevices, grid,MASS, methods,RColorBrewer,rrcov, stats4, utils",,&nbsp;,"cellHTS, tcltk","R (>= 2.10),Biobase,RColorBrewer, grid, methods,rrcov",1.42.0,BioC 1.6 (R-2.1) or earlier,cellHTS2,"cellHTS,domainsignatures,facsDorit,RNAither",
prebs,"GeneExpression,Microarray,Preprocessing,RNASeq,Sequencing,Software",,,Artistic-2.0,,"parallel, methods, stats,GenomicRanges(>= 1.13.3),IRanges",,&nbsp;,"prebsdata,hgu133plus2cdf,hgu133plus2probe","R (>= 2.14.0),GenomicAlignments,affy",1.6.0,BioC 2.12 (R-3.0),,,
predictionet,"GraphAndNetwork,NetworkInference,Software",,,Artistic-2.0,http://compbio.dfci.harvard.eduhttp://www.ulb.ac.be/di/mlg,"penalized,RBGL,MASS",,&nbsp;,"network,minet,knitr","igraph,catnet",1.12.0,BioC 2.9 (R-2.14),,,
preprocessCore,"Infrastructure,Software",,,LGPL (>= 2),,stats,oneChannelGUI,&nbsp;,,,1.28.0,BioC 2.1 (R-2.6),"affy,AffyTiling,ChAMP,charm,cn.farms,ExiMiR,frma,frmaTools,lumi,MBCB,minfi,MSnbase,MSstats,oligo,PECA,waveTiling","affyPLM,AgiMicroRna,CopyNumber450k,cqn,crlmm,RefPlus",
proBAMr,"MassSpectrometry,Proteomics,Software",,,Artistic-2.0,,"GenomicRanges,Biostrings,GenomicFeatures,rtracklayer",,&nbsp;,"RUnit,BiocGenerics","R (>= 3.0.1),IRanges,AnnotationDbi",1.0.1,BioC 3.0 (R-3.1),,,
procoil,"Classification,Proteomics,Software",,,GPL (>= 2),http://www.bioinf.jku.at/software/procoil/https://github.com/UBod/procoil,"methods, stats, graphics",,&nbsp;,Biostrings,R (>= 2.12.0),1.16.0,BioC 2.8 (R-2.13),,,
prot2D,"DifferentialExpression,MultipleComparison,Proteomics,Software",,,GPL (>= 2),,,,&nbsp;,"made4,affy","R (>= 2.15),fdrtool,st,samr,Biobase,limma,Mulcom,impute,MASS,qvalue",1.4.0,BioC 2.13 (R-3.0),,,
proteinProfiles,Software,,,GPL-3,,"graphics, stats",,&nbsp;,testthat,R (>= 2.15.2),1.6.0,BioC 2.12 (R-3.0),,,
proteoQC,"MassSpectrometry,Proteomics,QualityControl,ReportWriting,Software,Visualization",,Rcpp,LGPL-2,,"rTANDEM,plyr,seqinr,Nozzle.R1,ggplot2,reshape2, parallel,Rcpp(>= 0.11.1)",,&nbsp;,"RforProteomics(>= 1.0.16),knitr,BiocStyle,rpx,R.utils,RUnit,BiocGenerics","R (>= 3.0.0),XML,VennDiagram,MSnbase",1.2.0,BioC 3.0 (R-3.1),,,
puma,"AlternativeSplicing,Bayesian,ChipOnChip,Clustering,DataImport,DifferentialExpression,DifferentialSplicing,ExonArray,GeneExpression,HTA2.0,Microarray,OneChannel,Preprocessing,Software,TwoChannel,mRNAMicroarray",,,LGPL,http://umber.sbs.man.ac.uk/resources/puma,"Biobase(>= 2.5.5),affy(>= 1.41.3),affyio",tigre,&nbsp;,"pumadata,affydata,snow,limma,ROCR,annotate","R (>= 3.0),Biobase(>= 2.5.5),affy(>= 1.41.3), graphics, grDevices, methods, stats, utils,mclust,oligo",3.8.0,BioC 2.0 (R-2.5),,pumadata,
pvac,"Microarray,OneChannel,QualityControl,Software",,,LGPL (>= 2.0),,"affy(>= 1.20.0), stats,Biobase",,&nbsp;,"pbapply,affydata,ALLMLL,genefilter",R (>= 2.8.0),1.14.0,BioC 2.8 (R-2.13),,,
pvca,"BatchEffect,Microarray,Software",,,LGPL (>= 2.0),,"Matrix,Biobase,vsn,lme4",,&nbsp;,golubEsets,R (>= 2.15.1),1.6.0,BioC 2.12 (R-3.0),,,
qcmetrics,"Bioinformatics,MassSpectrometry,Microarray,Proteomics,QualityControl,ReportWriting,Software,Visualisation",,,GPL-2,https://github.com/lgatto/qcmetrics,"Biobase, methods,knitr, tools,Nozzle.R1,xtable,pander,S4Vectors",,&nbsp;,"affy,MSnbase,ggplot2,lattice,yaqcaffy,MAQCsubsetAFX,RforProteomics,AnnotationDbi,mzR,hgu133plus2cdf",R (>= 2.10),1.4.1,BioC 2.13 (R-3.0),,,
qpcrNorm,"GeneExpression,Preprocessing,Software",,,LGPL (>= 2),,,EasyqpcR,&nbsp;,,"methods,Biobase,limma,affy",1.24.0,BioC 2.4 (R-2.9),,,
qpgraph,"GeneExpression,GeneRegulation,GeneticVariability,Genetics,GraphAndNetwork,Microarray,NetworkInference,Pathways,SNP,Software,Transcription",,,GPL (>= 2),http://functionalgenomics.upf.edu/qpgraph,"methods, parallel,Matrix(>= 1.0), grid,annotate,graph(>= 1.44.0),Biobase,S4Vectors,BiocParallel,AnnotationDbi,IRanges,GenomeInfoDb,GenomicRanges,GenomicFeatures,mvtnorm,qtl,Rgraphviz",,&nbsp;,"RUnit,BiocGenerics,BiocStyle,genefilter,org.EcK12.eg.db,rlecuyer,snow,Category,GOstats",R (>= 3.0.0),2.0.5,BioC 2.4 (R-2.9),clipper,,
qrqc,"DataImport,Preprocessing,QualityControl,Sequencing,Software,Visualization",,Rsamtools,GPL (>=2),http://github.com/vsbuffalo/qrqc,"reshape,ggplot2,Biostrings,biovizBase, graphics, methods,plyr, stats",,&nbsp;,,"reshape,ggplot2,Biostrings,biovizBase,brew,xtable,Rsamtools(>= 1.3.28),testthat",1.20.0,BioC 2.8 (R-2.13),,,
quantro,"Microarray,MultipleComparison,Normalization,Preprocessing,Sequencing,Software",,,GPL (>=3),,"Biobase,minfi,doParallel,foreach,iterators,ggplot2, methods",,&nbsp;,"knitr,RUnit,BiocGenerics,BiocStyle",R (>= 3.1.1),1.0.0,BioC 3.0 (R-3.1),,,
quantsmooth,"CopyNumberVariation,Software,Visualization",,,GPL-2,,,PREDA,&nbsp;,,"R (>= 2.10.0),quantreg, grid",1.32.0,BioC 1.9 (R-2.4),"GWASTools,SIM",beadarraySNP,
qusage,"GeneSetEnrichment,Microarray,RNASeq,Software",,,GPL (>= 2),http://clip.med.yale.edu/qusage,"utils,Biobase",,&nbsp;,,"R (>= 2.10),limma(>= 3.14), methods",1.6.0,BioC 2.13 (R-3.0),,,
qvalue,"MultipleComparison,Software",,,LGPL,,"graphics, stats","LBE,maanova,PREDA,RNAinteractMAPK",&nbsp;,,,1.43.0,BioC 1.6 (R-2.1) or earlier,"anota,derfinder,DOSE,EnrichmentBrowser,erccdashboard,msmsTests,Rnits,sRAP,synapter,trigger,webbioc","anota,CancerMutationAnalysis,ChimpHumanBrainData,DEGseq,DrugVsDisease,metaseqR,netresponse,prot2D,r3Cseq,SSPA,webbioc",
r3Cseq,"Preprocessing,Sequencing,Software",,,GPL-3,http://r3cseq.genereg.net,,,&nbsp;,"BSgenome.Mmusculus.UCSC.mm9.masked,BSgenome.Hsapiens.UCSC.hg18.masked,BSgenome.Hsapiens.UCSC.hg19.masked","GenomicRanges,Rsamtools,data.table,rtracklayer,VGAM,qvalue,RColorBrewer,sqldf, methods",1.12.1,BioC 2.9 (R-2.14),,,
rBiopaxParser,"DataRepresentation,Software",,,GPL (>= 2),https://github.com/frankkramer/rBiopaxParser,XML,NetPathMiner,&nbsp;,"Rgraphviz,RCurl,graph,RUnit,BiocGenerics,nem,RBGL","R (>= 3.0.0),data.table",2.4.0,BioC 2.12 (R-3.0),,,
rGADEM,"ChIPSeq,ChIPchip,Microarray,MotifDiscovery,Sequencing,Software",,,Artistic-2.0,,"Biostrings,IRanges, methods, graphics,seqLogo",,&nbsp;,BSgenome.Hsapiens.UCSC.hg19,"R (>= 2.11.0),Biostrings,IRanges,BSgenome, methods,seqLogo",2.14.0,BioC 2.6 (R-2.11),MotIV,,
rHVDM,"Classification,GraphAndNetwork,Microarray,NetworkInference,Software,Transcription",,,GPL-2,,,,&nbsp;,,"R (>= 2.10),R2HTML(>= 1.5),affy(>= 1.23.4),minpack.lm(>= 1.0-5),Biobase(>= 2.5.5)",1.32.0,BioC 2.0 (R-2.5),,,
rMAT,"Microarray,Preprocessing,Software",,,Artistic-2.0,http://www.rglab.org,"stats, methods,BiocGenerics,IRanges,Biobase,affxparser, stats4",,&nbsp;,"GenomeGraphs,rtracklayer","R (>= 2.9.0),BiocGenerics(>= 0.1.3),IRanges(>= 1.13.10),Biobase(>= 2.15.1),affxparser",3.16.0,BioC 2.4 (R-2.9),,,
rRDP,"Classification,Genetics,Infrastructure,Microbiome,Sequencing,Software",,,GPL-2 | file LICENSE,,,,&nbsp;,rRDPData,Biostrings(>= 2.26.2),1.0.0,BioC 3.0 (R-3.1),,rRDPData,Java
rSFFreader,"DataImport,Sequencing,Software",,"S4Vectors,IRanges,XVector,Biostrings",Artistic-2.0,,"methods,Biostrings,IRanges",hiReadsProcessor,&nbsp;,xtable,ShortRead(>= 1.23.17),0.14.0,BioC 2.11 (R-2.15),,,
rTANDEM,"MassSpectrometry,Proteomics,Software",,Rcpp,Artistic-1.0 | file LICENSE,,methods,RforProteomics,&nbsp;,biomaRt,"XML,Rcpp,data.table(>= 1.8.8)",1.6.1,BioC 2.12 (R-3.0),proteoQC,"sapFinder,shinyTANDEM",rTANDEM uses expat and pthread libraries. See the README file for details.
rTRM,"GeneRegulation,GraphAndNetwork,Network,Software,Transcription",,,GPL-3,,AnnotationDbi,,&nbsp;,"RUnit,BiocGenerics,MotifDb,graph,PWMEnrich,biomaRt,knitr,Biostrings,BSgenome.Mmusculus.UCSC.mm8.masked,org.Hs.eg.db,org.Mm.eg.db,ggplot2","R (>= 2.10),igraph(>= 0.7),RSQLite",1.4.0,BioC 2.13 (R-3.0),rTRMui,,
rTRMui,"GUI,GeneRegulation,GraphAndNetwork,Network,Software,Transcription",,,GPL-3,,"shiny(>= 0.9),rTRM,MotifDb,org.Hs.eg.db,org.Mm.eg.db",,&nbsp;,,,1.4.0,BioC 2.13 (R-3.0),,,
